,series,nameLocKey,instanceName,cores,category,ram,tier,hasPayGo,isInPreview,diskSize,type_x,hasSpot,isVcpu,isConstrainedCore,isBaseVm,activeCores,productId_x,nvMeDisk,gpu,fpga,pmem,currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,productId_y,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type_y,isPrimaryMeterRegion,armSkuName,effectiveEndDate
0,av2,a1v2,A1 v2,1,generalpurpose,2.0,standard,True,False,10.0,linux,True,False,False,True,,,,,,,USD,0.0,0.043,0.043,southcentralus,US South Central,2016-11-01T00:00:00Z,8481cae4-6889-4bd7-8124-11a462a15a9a,DZH318Z0BPRJ,DZH318Z0BPRJ/00H5,,Virtual Machines Av2 Series,A1 v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A1_v2,
1,av2,a1v2,A1 v2,1,generalpurpose,2.0,standard,True,False,10.0,linux,True,False,False,True,,,,,,,USD,0.0,0.065,0.065,southcentralus,US South Central,2016-11-01T00:00:00Z,b73c4c98-f0b9-4671-972f-6973689cbd98,DZH318Z0BPW1,DZH318Z0BPW1/00D4,,Virtual Machines Av2 Series Windows,A1 v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A1_v2,
2,av2,a2mv2,A2m v2,2,generalpurpose,16.0,standard,True,False,20.0,linux,True,False,False,True,,,,,,,USD,0.0,0.188,0.188,southcentralus,US South Central,2016-11-01T00:00:00Z,61bf355f-0d08-480b-afcf-2d6e81777e15,DZH318Z0BPW1,DZH318Z0BPW1/008D,,Virtual Machines Av2 Series Windows,A2m v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A2m_v2,
3,av2,a2mv2,A2m v2,2,generalpurpose,16.0,standard,True,False,20.0,linux,True,False,False,True,,,,,,,USD,0.0,0.124,0.124,southcentralus,US South Central,2016-11-01T00:00:00Z,bfc659da-ec05-4bfd-8065-78cd212bca35,DZH318Z0BPRJ,DZH318Z0BPRJ/0039,,Virtual Machines Av2 Series,A2m v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A2m_v2,
4,av2,a2v2,A2 v2,2,generalpurpose,4.0,standard,True,False,20.0,linux,True,False,False,True,,,,,,,USD,0.0,0.091,0.091,southcentralus,US South Central,2016-11-01T00:00:00Z,a9e2e628-8f76-4c81-8292-3b7203ca8a76,DZH318Z0BPRJ,DZH318Z0BPRJ/00BN,,Virtual Machines Av2 Series,A2 v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A2_v2,
5,av2,a2v2,A2 v2,2,generalpurpose,4.0,standard,True,False,20.0,linux,True,False,False,True,,,,,,,USD,0.0,0.136,0.136,southcentralus,US South Central,2016-11-01T00:00:00Z,f8b8852d-f482-4563-80c2-fe347291644b,DZH318Z0BPW1,DZH318Z0BPW1/00D0,,Virtual Machines Av2 Series Windows,A2 v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A2_v2,
6,av2,a4mv2,A4m v2,4,generalpurpose,32.0,standard,True,False,40.0,linux,True,False,False,True,,,,,,,USD,0.0,0.375,0.375,southcentralus,US South Central,2016-11-01T00:00:00Z,237deb5e-619a-45b6-af87-1a12990dccb1,DZH318Z0BPW1,DZH318Z0BPW1/007Q,,Virtual Machines Av2 Series Windows,A4m v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A4m_v2,
7,av2,a4mv2,A4m v2,4,generalpurpose,32.0,standard,True,False,40.0,linux,True,False,False,True,,,,,,,USD,0.0,0.248,0.248,southcentralus,US South Central,2016-11-01T00:00:00Z,f262096a-bbd5-4a02-8c80-a802580a6955,DZH318Z0BPRJ,DZH318Z0BPRJ/0068,,Virtual Machines Av2 Series,A4m v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A4m_v2,
8,av2,a4v2,A4 v2,4,generalpurpose,8.0,standard,True,False,40.0,linux,True,False,False,True,,,,,,,USD,0.0,0.191,0.191,southcentralus,US South Central,2016-11-01T00:00:00Z,9f3f7e8c-f456-4832-b83b-d67d9f3f8bb2,DZH318Z0BPRJ,DZH318Z0BPRJ/0096,,Virtual Machines Av2 Series,A4 v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A4_v2,
9,av2,a4v2,A4 v2,4,generalpurpose,8.0,standard,True,False,40.0,linux,True,False,False,True,,,,,,,USD,0.0,0.286,0.286,southcentralus,US South Central,2016-11-01T00:00:00Z,a4bca5bd-4831-404f-992d-15196e612862,DZH318Z0BPW1,DZH318Z0BPW1/00D1,,Virtual Machines Av2 Series Windows,A4 v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A4_v2,
